You are now connected to database "nc_news_test" as user "jacobadamnevitt".
 comment_id | votes |         created_at         |   username    |                                                                                         body                                                                                         
------------+-------+----------------------------+---------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          1 |    16 | 2017-11-22 12:36:03.389+00 | butter_bridge | Oh, I've got compassion running out of my nose, pal! I'm the Sultan of Sentiment!
          2 |    14 | 2016-11-22 12:36:03.389+00 | butter_bridge | The beautiful thing about treasure is that it exists. Got to find out what kind of sheets these are; not cotton, not rayon, silky.
          3 |   100 | 2015-11-23 12:36:03.389+00 | icellusedkars | Replacing the quiet elegance of the dark suit and tie with the casual indifference of these muted earth tones is a form of fashion suicide, but, uh, call me crazy — onyou it works.
          4 |  -100 | 2014-11-23 12:36:03.389+00 | icellusedkars |  I carry a log — yes. Is it funny to you? It is not to me.
          5 |     0 | 2013-11-23 12:36:03.389+00 | icellusedkars | I hate streaming noses
          6 |     0 | 2012-11-23 12:36:03.389+00 | icellusedkars | I hate streaming eyes even more
          7 |     0 | 2011-11-24 12:36:03.389+00 | icellusedkars | Lobster pot
          8 |     0 | 2010-11-24 12:36:03.389+00 | icellusedkars | Delicious crackerbreads
          9 |     0 | 2009-11-24 12:36:03.389+00 | icellusedkars | Superficially charming
         10 |     0 | 2008-11-24 12:36:03.389+00 | icellusedkars | git push origin master
         11 |     0 | 2007-11-25 12:36:03.389+00 | icellusedkars | Ambidextrous marsupial
         12 |     0 | 2006-11-25 12:36:03.389+00 | icellusedkars | Massive intercranial brain haemorrhage
         13 |     0 | 2005-11-25 12:36:03.389+00 | icellusedkars | Fruit pastilles
         14 |    16 | 2004-11-25 12:36:03.389+00 | icellusedkars | What do you see? I have no idea where this will lead us. This place I speak of, is known as the Black Lodge.
         15 |     1 | 2003-11-26 12:36:03.389+00 | butter_bridge | I am 100% sure that we're not completely sure.
         16 |     1 | 2002-11-26 12:36:03.389+00 | butter_bridge | This is a bad article name
         17 |    20 | 2001-11-26 12:36:03.389+00 | icellusedkars | The owls are not what they seem.
         18 |    16 | 2000-11-26 12:36:03.389+00 | butter_bridge | This morning, I showered for nine minutes.
(18 rows)

